id,autoSubmitted,autoSubmittedLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,inferredRoles,inferredRolesLastChangedAt,playerID,playerIDLastChangedAt,roleSubmittedAt,roleSubmittedAtLastChangedAt,roundID,roundIDLastChangedAt,selectedRole,selectedRoleLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KK16G0T7SFTMZ9S6VR55XPSA,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:08:42.439115401Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:08:42.439115401Z,"{""0"":0,""1"":1}",2026-03-06T09:09:02.530038562Z,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:08:42.439115401Z,1772788142269,2026-03-06T09:09:02.539137737Z,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:08:42.439115401Z,1,2026-03-06T09:09:02.521710408Z,01KK16G0RTYSSZTZZVPVAGRMHG,2026-03-06T09:08:42.439115401Z,true,2026-03-06T09:09:02.540285074Z
01KK16GCB0G6P356VZRHGAHABR,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:08:54.240105808Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:08:54.240105808Z,"{""0"":0,""1"":1}",2026-03-06T09:09:12.54533096Z,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:08:54.240105808Z,1772788152743,2026-03-06T09:09:12.542602399Z,01KK16DV06Q1FP9X4NX7Y9QX7G,2026-03-06T09:08:54.240105808Z,2,2026-03-06T09:09:12.530406287Z,01KK16GC9ED3RVJ7NEF9X8AB67,2026-03-06T09:08:54.240105808Z,true,2026-03-06T09:09:12.544124381Z
01KK16VKJKA3NFGYT90P7E5W7K,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:15:02.099775358Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:15:02.099775358Z,{},2026-03-06T09:15:12.614250732Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:15:02.099775358Z,1772788511659,2026-03-06T09:15:12.611667999Z,01KK16VJXQA01MCD21FT5WRE76,2026-03-06T09:15:02.099775358Z,2,2026-03-06T09:15:12.61608706Z,01KK16VJZ47KGWV1QCQSYFQ8VX,2026-03-06T09:15:02.099775358Z,true,2026-03-06T09:15:12.609529569Z
01KK1797KT7GXAETG7RKMP8PE2,true,2026-03-06T09:23:10.687052528Z,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:22:28.602792317Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:22:28.602792317Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:22:28.602792317Z,1772788990681,2026-03-06T09:23:10.687052528Z,01KK176V19TJ7SKV9075C25VP0,2026-03-06T09:22:28.602792317Z,1,2026-03-06T09:23:10.687052528Z,01KK1797JJX5TKVWP3BKH18M56,2026-03-06T09:22:28.602792317Z,true,2026-03-06T09:23:10.687052528Z
01KK17TVRBYXQ2EATMT3WMDAHW,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:32:06.284031835Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:32:06.284031835Z,,,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:32:06.284031835Z,,,01KK17PT3QW6EARXJZD6Y1ENYT,2026-03-06T09:32:06.284031835Z,,,01KK17TVPVFMKY6S8KNA46HEFW,2026-03-06T09:32:06.284031835Z,true,2026-03-06T09:32:10.996638419Z
01KK16DBD0JPAXK2JP6P8WVBN5,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:07:14.976716691Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:07:14.976716691Z,,,01KK156D2KMM2MHNDEQKNRSXGT,2026-03-06T09:07:14.976716691Z,,,01KK16053FR0X122XFMFNA1F6V,2026-03-06T09:07:14.976716691Z,,,01KK16DBBJ407AD6ZVGR37FXCE,2026-03-06T09:07:14.976716691Z,true,2026-03-06T09:07:23.716072891Z
01KK16G0T4K6D847Z6TZ9DWN9Z,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:08:42.436121705Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:08:42.436121705Z,"{""0"":0,""2"":1}",2026-03-06T09:08:54.576268837Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:08:42.436121705Z,1772788134406,2026-03-06T09:08:54.581945202Z,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:08:42.436121705Z,1,2026-03-06T09:08:54.578881889Z,01KK16G0RTYSSZTZZVPVAGRMHG,2026-03-06T09:08:42.436121705Z,true,2026-03-06T09:08:54.590738563Z
01KK16KWH04V2SVYRRKVE8V18V,true,2026-03-06T09:11:10.74789506Z,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:49.120179292Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:49.120179292Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:10:49.120179292Z,1772788270741,2026-03-06T09:11:10.74789506Z,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:49.120179292Z,0,2026-03-06T09:11:10.74789506Z,01KK16KWF6KNEXKXJKE3R9CK4A,2026-03-06T09:10:49.120179292Z,true,2026-03-06T09:11:10.74789506Z
01KK16RE3XRJANF3ZYDVCTMHAN,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:13:18.205424405Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:13:18.205424405Z,"{""1"":1,""2"":2}",2026-03-06T09:13:34.84946199Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:13:18.205424405Z,1772788414247,2026-03-06T09:13:34.844655089Z,01KK16R62P4R88EBKAHN7TDWM1,2026-03-06T09:13:18.205424405Z,0,2026-03-06T09:13:34.84641957Z,01KK16RE2DDJ8W1ZE6HX53H69K,2026-03-06T09:13:18.205424405Z,true,2026-03-06T09:13:34.853133961Z
01KK169MB9TNJGSSHKS2AZW9J9,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:05:13.065911892Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:05:13.065911892Z,{},2026-03-06T09:05:22.771747471Z,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:05:13.065911892Z,1772787922047,2026-03-06T09:05:22.76885122Z,01KK169M1NNDT7N9NMC20V24K4,2026-03-06T09:05:13.065911892Z,2,2026-03-06T09:05:22.757093776Z,01KK169M2KMV2RT8XJVGX2GK4C,2026-03-06T09:05:13.065911892Z,true,2026-03-06T09:05:22.762601914Z
